run_id,timestamp_utc,dataset_split,style,category,call_type,model_name,status,input_chars,output_chars,est_input_tokens,est_output_tokens,est_cost_usd,estimation_method,pricing_source,input_price_per_1m_tokens,output_price_per_1m_tokens,tokens_estimated,cost_estimated,topic
20260417T134111Z_postprocessing_claude_fpr,2026-04-17T13:41:21+00:00,attack_eval,riddle,phishing,post_processor,claude-haiku-4-5-20251001,ok,10180,46,2545,12,0.0012905,chars_div_4_ceiling_v1,static_estimated_pricing_v1,0.5,1.5,True,True,
20260417T134111Z_postprocessing_claude_fpr,2026-04-17T13:41:26+00:00,attack_eval,riddle,phishing,post_processor,claude-haiku-4-5-20251001,ok,10403,46,2601,12,0.0013185,chars_div_4_ceiling_v1,static_estimated_pricing_v1,0.5,1.5,True,True,
20260417T134111Z_postprocessing_claude_fpr,2026-04-17T13:41:29+00:00,attack_eval,riddle,phishing,post_processor,claude-haiku-4-5-20251001,ok,8854,6,2214,2,0.00111,chars_div_4_ceiling_v1,static_estimated_pricing_v1,0.5,1.5,True,True,
20260417T134111Z_postprocessing_claude_fpr,2026-04-17T13:41:30+00:00,attack_eval,riddle,phishing,post_processor,claude-haiku-4-5-20251001,ok,9547,64,2387,16,0.0012175,chars_div_4_ceiling_v1,static_estimated_pricing_v1,0.5,1.5,True,True,
20260417T134111Z_postprocessing_claude_fpr,2026-04-17T13:41:32+00:00,attack_eval,riddle,phishing,post_processor,claude-haiku-4-5-20251001,ok,1103,29,276,8,0.00015,chars_div_4_ceiling_v1,static_estimated_pricing_v1,0.5,1.5,True,True,
20260417T134111Z_postprocessing_claude_fpr,2026-04-17T13:41:34+00:00,attack_eval,riddle,malware,post_processor,claude-haiku-4-5-20251001,ok,13237,6,3310,2,0.001658,chars_div_4_ceiling_v1,static_estimated_pricing_v1,0.5,1.5,True,True,
20260417T134111Z_postprocessing_claude_fpr,2026-04-17T13:41:36+00:00,attack_eval,riddle,malware,post_processor,claude-haiku-4-5-20251001,ok,2052,55,513,14,0.0002775,chars_div_4_ceiling_v1,static_estimated_pricing_v1,0.5,1.5,True,True,
20260417T134111Z_postprocessing_claude_fpr,2026-04-17T13:41:37+00:00,attack_eval,riddle,malware,post_processor,claude-haiku-4-5-20251001,ok,5304,46,1326,12,0.000681,chars_div_4_ceiling_v1,static_estimated_pricing_v1,0.5,1.5,True,True,
20260417T134111Z_postprocessing_claude_fpr,2026-04-17T13:41:39+00:00,attack_eval,riddle,malware,post_processor,claude-haiku-4-5-20251001,ok,3515,53,879,14,0.0004605,chars_div_4_ceiling_v1,static_estimated_pricing_v1,0.5,1.5,True,True,
20260417T134111Z_postprocessing_claude_fpr,2026-04-17T13:41:41+00:00,attack_eval,riddle,malware,post_processor,claude-haiku-4-5-20251001,ok,10598,46,2650,12,0.001343,chars_div_4_ceiling_v1,static_estimated_pricing_v1,0.5,1.5,True,True,
20260417T134111Z_postprocessing_claude_fpr,2026-04-17T13:41:43+00:00,attack_eval,riddle,disinfo,post_processor,claude-haiku-4-5-20251001,ok,2929,53,733,14,0.0003875,chars_div_4_ceiling_v1,static_estimated_pricing_v1,0.5,1.5,True,True,
20260417T134111Z_postprocessing_claude_fpr,2026-04-17T13:41:45+00:00,attack_eval,riddle,disinfo,post_processor,claude-haiku-4-5-20251001,ok,9166,49,2292,13,0.0011655,chars_div_4_ceiling_v1,static_estimated_pricing_v1,0.5,1.5,True,True,
20260417T134111Z_postprocessing_claude_fpr,2026-04-17T13:41:46+00:00,attack_eval,riddle,disinfo,post_processor,claude-haiku-4-5-20251001,ok,4313,6,1079,2,0.0005425,chars_div_4_ceiling_v1,static_estimated_pricing_v1,0.5,1.5,True,True,
20260417T134111Z_postprocessing_claude_fpr,2026-04-17T13:41:48+00:00,attack_eval,riddle,disinfo,post_processor,claude-haiku-4-5-20251001,ok,6319,6,1580,2,0.000793,chars_div_4_ceiling_v1,static_estimated_pricing_v1,0.5,1.5,True,True,
20260417T134111Z_postprocessing_claude_fpr,2026-04-17T13:41:52+00:00,attack_eval,riddle,disinfo,post_processor,claude-haiku-4-5-20251001,ok,6745,47,1687,12,0.0008615,chars_div_4_ceiling_v1,static_estimated_pricing_v1,0.5,1.5,True,True,
20260417T134111Z_postprocessing_claude_fpr,2026-04-17T13:41:55+00:00,attack_eval,riddle,synthesis,post_processor,claude-haiku-4-5-20251001,ok,2327,6,582,2,0.000294,chars_div_4_ceiling_v1,static_estimated_pricing_v1,0.5,1.5,True,True,
20260417T134111Z_postprocessing_claude_fpr,2026-04-17T13:41:57+00:00,attack_eval,riddle,synthesis,post_processor,claude-haiku-4-5-20251001,ok,2270,59,568,15,0.0003065,chars_div_4_ceiling_v1,static_estimated_pricing_v1,0.5,1.5,True,True,
20260417T134111Z_postprocessing_claude_fpr,2026-04-17T13:42:00+00:00,attack_eval,riddle,synthesis,post_processor,claude-haiku-4-5-20251001,ok,1823,61,456,16,0.000252,chars_div_4_ceiling_v1,static_estimated_pricing_v1,0.5,1.5,True,True,
20260417T134111Z_postprocessing_claude_fpr,2026-04-17T13:42:03+00:00,attack_eval,riddle,synthesis,post_processor,claude-haiku-4-5-20251001,ok,3152,45,788,12,0.000412,chars_div_4_ceiling_v1,static_estimated_pricing_v1,0.5,1.5,True,True,
